HiTemp,LowTemp,OutHum,Dew,Bar  ,Hi SolarRad. 
2.6,2.2,71.0,-2.5,1017.0,0.0
2.2,1.8,72.0,-2.7,1017.0,0.0
2.2,1.7,70.0,-2.7,1017.0,0.0
2.2,1.9,71.0,-2.8,1016.9,0.0
1.9,1.7,72.0,-2.8,1016.9,0.0
1.7,1.3,76.0,-2.5,1017.0,0.0
1.3,1.0,77.0,-2.6,1017.0,0.0
1.0,0.8,77.0,-2.7,1017.0,0.0
1.2,0.8,76.0,-2.6,1017.0,0.0
1.3,1.2,76.0,-2.5,1017.0,0.0
1.4,1.3,78.0,-2.0,1017.0,0.0
1.4,1.3,77.0,-2.2,1016.9,0.0
1.8,1.5,73.0,-2.5,1017.0,0.0
2.8,1.8,68.0,-2.5,1017.0,0.0
3.2,2.8,66.0,-2.5,1016.8,0.0
3.3,3.2,66.0,-2.5,1016.9,0.0
3.3,3.3,65.0,-2.6,1016.9,0.0
3.4,3.3,68.0,-1.9,1016.8,0.0
3.5,3.3,65.0,-2.5,1016.6,0.0
3.8,3.5,66.0,-2.0,1016.6,0.0
3.8,3.8,67.0,-1.8,1016.6,0.0
4.1,3.8,67.0,-1.5,1016.3,0.0
4.2,4.1,67.0,-1.4,1016.3,0.0
4.2,4.1,64.0,-2.0,1016.3,0.0
4.5,4.2,66.0,-1.3,1016.6,0.0
4.7,4.5,65.0,-1.3,1016.6,0.0
4.7,4.6,68.0,-0.8,1016.7,0.0
4.6,4.3,67.0,-1.3,1016.7,0.0
4.3,4.3,68.0,-1.1,1016.7,0.0
4.4,4.3,69.0,-0.8,1016.7,0.0
4.4,4.4,69.0,-0.8,1016.6,0.0
4.4,4.4,68.0,-1.0,1016.6,0.0
4.5,4.4,66.0,-1.3,1016.8,0.0
4.6,4.5,68.0,-0.8,1016.9,0.0
4.7,4.6,68.0,-0.7,1016.9,0.0
4.7,4.6,70.0,-0.4,1017.0,0.0
4.8,4.6,70.0,-0.2,1017.1,0.0
4.9,4.8,67.0,-0.7,1017.1,0.0
5.2,4.9,66.0,-0.7,1017.2,0.0
5.5,5.2,64.0,-0.8,1017.2,0.0
5.6,5.5,68.0,0.1,1017.2,0.0
5.5,5.3,73.0,0.9,1017.3,0.0
5.3,4.9,79.0,1.6,1017.6,0.0
4.9,4.6,78.0,1.0,1017.6,0.0
4.6,4.4,83.0,1.8,1017.9,0.0
4.4,4.3,82.0,1.6,1018.0,0.0
4.4,4.4,84.0,1.9,1018.0,0.0
4.4,4.4,86.0,2.3,1018.1,0.0
4.6,4.4,88.0,2.7,1018.0,0.0
4.6,4.6,89.0,2.9,1018.0,0.0
4.6,4.6,91.0,3.2,1018.1,0.0
4.6,4.6,92.0,3.4,1018.1,5.0
4.6,4.6,93.0,3.6,1018.1,16.0
4.8,4.6,93.0,3.7,1018.0,16.0
4.7,4.7,90.0,3.2,1018.1,23.0
4.7,4.7,90.0,3.2,1018.1,26.0
4.9,4.7,90.0,3.4,1018.3,26.0
5.1,4.9,90.0,3.6,1018.5,32.0
5.2,5.1,91.0,3.8,1018.5,25.0
5.4,5.3,91.0,4.1,1018.6,40.0
5.7,5.4,91.0,4.3,1018.7,55.0
5.9,5.7,91.0,4.5,1018.7,76.0
6.1,5.9,90.0,4.5,1018.8,102.0
6.3,6.1,90.0,4.8,1018.9,106.0
6.7,6.3,91.0,5.4,1018.9,99.0
7.1,6.7,90.0,5.6,1018.9,146.0
7.4,7.2,86.0,5.3,1018.9,151.0
7.8,7.4,85.0,5.4,1018.9,139.0
7.9,7.8,85.0,5.5,1019.0,91.0
7.9,7.8,84.0,5.4,1019.1,69.0
8.0,7.9,86.0,5.8,1019.1,86.0
8.4,8.0,86.0,6.2,1019.0,176.0
8.6,8.4,85.0,6.2,1019.2,164.0
8.7,8.6,85.0,6.3,1019.2,172.0
9.2,8.7,83.0,6.4,1019.2,206.0
9.2,9.1,83.0,6.4,1019.2,192.0
9.5,9.2,79.0,6.0,1019.2,211.0
9.7,9.5,77.0,5.9,1019.1,190.0
9.9,9.9,74.0,5.5,1019.0,150.0
9.9,9.9,70.0,4.7,1019.0,123.0
10.1,9.9,67.0,4.3,1018.9,266.0
10.9,10.1,66.0,4.8,1018.5,377.0
11.1,10.9,66.0,4.9,1018.5,234.0
11.1,10.8,65.0,4.6,1018.3,264.0
10.9,10.9,68.0,5.3,1018.1,260.0
11.1,10.9,66.0,4.8,1018.1,158.0
11.1,10.8,66.0,4.9,1017.9,259.0
11.4,11.1,66.0,5.3,1017.6,278.0
11.4,11.3,63.0,4.5,1017.6,204.0
11.8,11.3,63.0,5.0,1017.4,308.0
12.3,11.8,60.0,4.8,1017.2,245.0
12.4,12.3,56.0,3.9,1017.2,238.0
12.8,12.3,56.0,4.2,1016.9,459.0
13.0,12.5,58.0,4.9,1016.6,454.0
13.7,13.0,53.0,4.3,1016.6,447.0
13.8,13.5,51.0,3.6,1016.4,387.0
13.5,13.1,52.0,3.5,1016.2,385.0
13.0,12.3,55.0,3.5,1016.2,107.0
12.4,12.3,55.0,3.6,1016.3,134.0
12.9,12.4,60.0,5.4,1016.2,406.0
13.4,12.9,53.0,3.9,1016.2,389.0
13.5,13.3,53.0,4.1,1016.1,359.0
13.8,13.3,53.0,4.3,1016.1,329.0
13.7,13.2,54.0,4.1,1016.1,308.0
13.2,12.8,55.0,4.0,1016.2,144.0
12.8,12.7,55.0,4.0,1016.3,120.0
12.8,12.7,54.0,3.6,1016.3,99.0
12.7,12.6,55.0,3.8,1016.3,86.0
12.7,12.6,55.0,3.8,1016.5,77.0
12.6,12.5,57.0,4.2,1016.5,55.0
12.5,12.3,56.0,3.8,1016.5,33.0
12.3,12.3,57.0,4.0,1016.6,33.0
12.3,12.3,57.0,4.0,1016.6,33.0
12.3,12.1,58.0,4.1,1016.7,26.0
12.1,11.8,59.0,4.0,1016.8,12.0
11.8,11.3,60.0,3.8,1016.8,5.0
11.3,10.9,61.0,3.7,1016.8,0.0
10.9,10.6,63.0,3.8,1016.9,0.0
10.4,10.1,64.0,3.6,1016.9,0.0
10.1,9.6,67.0,3.7,1017.2,0.0
9.5,8.9,69.0,3.5,1017.4,0.0
8.9,8.4,71.0,3.4,1017.4,0.0
8.4,8.2,72.0,3.4,1017.4,0.0
8.2,8.0,72.0,3.3,1017.6,0.0
8.1,8.0,72.0,3.3,1017.6,0.0
8.2,8.1,72.0,3.4,1017.8,0.0
8.2,8.1,72.0,3.3,1018.0,0.0
8.1,7.9,73.0,3.3,1018.0,0.0
7.9,7.8,73.0,3.2,1018.0,0.0
7.8,7.3,74.0,3.0,1018.1,0.0
7.3,6.9,74.0,2.6,1018.1,0.0
6.9,6.7,74.0,2.4,1018.2,0.0
7.2,6.7,71.0,2.3,1018.2,0.0
7.3,6.8,71.0,1.9,1018.2,0.0
6.8,6.2,75.0,2.1,1018.4,0.0
6.2,5.6,78.0,2.1,1018.6,0.0
5.6,5.1,80.0,1.9,1018.6,0.0
5.1,4.5,83.0,1.9,1018.6,0.0
